,label,lang,train,True or False
68,__label__xuat_sac,en,__label__xuat_sac,True
69,__label__xuat_sac,vi,__label__xuat_sac,True
70,__label__trung_binh,en,__label__trung_binh,True
71,__label__tot,en,__label__tot,True
72,__label__xuat_sac,en,__label__xuat_sac,True
73,__label__tot,th,__label__tot,True
74,__label__xuat_sac,en,__label__xuat_sac,True
75,__label__xuat_sac,fr,__label__xuat_sac,True
76,__label__tot,en,__label__tot,True
77,__label__xuat_sac,en,__label__xuat_sac,True
78,__label__xuat_sac,en,__label__xuat_sac,True
79,__label__tot,nl,__label__tot,True
80,__label__tot,en,__label__tot,True
81,__label__tot,it,__label__tot,True
82,__label__tot,it,__label__tot,True
83,__label__xuat_sac,en,__label__xuat_sac,True
84,__label__tot,en,__label__tot,True
85,__label__xuat_sac,en,__label__xuat_sac,True
86,__label__xuat_sac,en,__label__xuat_sac,True
87,__label__tot,de,__label__tot,True
88,__label__xuat_sac,fr,__label__xuat_sac,True
89,__label__tot,en,__label__tot,True
90,__label__trung_binh,de,__label__trung_binh,True
91,__label__xuat_sac,de,__label__xuat_sac,True
92,__label__tot,en,__label__tot,True
93,__label__xuat_sac,vi,__label__xuat_sac,True
94,__label__xuat_sac,en,__label__tot,False
95,__label__trung_binh,he,__label__trung_binh,True
96,__label__tot,it,__label__tot,True
97,__label__tot,en,__label__tot,True
98,__label__xuat_sac,pl,__label__tot,False
99,__label__xuat_sac,de,__label__xuat_sac,True
100,__label__xuat_sac,es,__label__xuat_sac,True
101,__label__xuat_sac,vi,__label__xuat_sac,True
102,__label__xuat_sac,fr,__label__xuat_sac,True
103,__label__xuat_sac,vi,__label__xuat_sac,True
104,__label__xuat_sac,nl,__label__xuat_sac,True
105,__label__xuat_sac,he,__label__xuat_sac,True
106,__label__xuat_sac,de,__label__xuat_sac,True
107,__label__xuat_sac,fr,__label__xuat_sac,True
108,__label__trung_binh,nl,__label__trung_binh,True
109,__label__xuat_sac,zh-cn,__label__xuat_sac,True
110,__label__xuat_sac,en,__label__xuat_sac,True
111,__label__xuat_sac,sv,__label__xuat_sac,True
112,__label__tot,hu,__label__tot,True
113,__label__tot,en,__label__tot,True
114,__label__tot,fr,__label__tot,True
115,__label__tot,en,__label__tot,True
116,__label__trung_binh,nl,__label__trung_binh,True
117,__label__tot,es,__label__tot,True
118,__label__tot,en,__label__tot,True
119,__label__xuat_sac,es,__label__xuat_sac,True
120,__label__tot,zh-cn,__label__tot,True
121,__label__xuat_sac,it,__label__xuat_sac,True
122,__label__tot,vi,__label__tot,True
123,__label__xuat_sac,vi,__label__xuat_sac,True
124,__label__xuat_sac,en,__label__tot,False
125,__label__xuat_sac,fr,__label__xuat_sac,True
126,__label__xuat_sac,es,__label__xuat_sac,True
127,__label__tot,ko,__label__xuat_sac,False
128,__label__xuat_sac,en,__label__xuat_sac,True
129,__label__tot,en,__label__tot,True
130,__label__tot,en,__label__tot,True
131,__label__tot,nl,__label__tot,True
132,__label__tot,fr,__label__tot,True
133,__label__xuat_sac,fr,__label__xuat_sac,True
134,__label__tot,it,__label__tot,True
135,__label__tot,it,__label__tot,True
136,__label__trung_binh,vi,__label__trung_binh,True
137,__label__tot,nl,__label__tot,True
138,__label__xuat_sac,it,__label__xuat_sac,True
139,__label__tot,fr,__label__tot,True
140,__label__xuat_sac,de,__label__xuat_sac,True
141,__label__xuat_sac,fr,__label__xuat_sac,True
142,__label__tot,en,__label__xuat_sac,False
143,__label__tot,fr,__label__tot,True
144,__label__rat_kem,es,__label__rat_kem,True
145,__label__tot,en,__label__tot,True
146,__label__tot,it,__label__tot,True
147,__label__tot,en,__label__tot,True
148,__label__tot,th,__label__tot,True
149,__label__xuat_sac,nl,__label__xuat_sac,True
150,__label__tot,en,__label__tot,True
151,__label__xuat_sac,en,__label__xuat_sac,True
152,__label__trung_binh,en,__label__trung_binh,True
153,__label__tot,en,__label__tot,True
154,__label__tot,en,__label__tot,True
155,__label__tot,es,__label__tot,True
156,__label__trung_binh,en,__label__trung_binh,True
157,__label__trung_binh,es,__label__trung_binh,True
158,__label__tot,th,__label__tot,True
159,__label__tot,nl,__label__tot,True
160,__label__kem,de,__label__kem,True
161,__label__xuat_sac,en,__label__xuat_sac,True
162,__label__tot,en,__label__tot,True
163,__label__xuat_sac,he,__label__xuat_sac,True
164,__label__kem,fr,__label__kem,True
165,__label__tot,de,__label__tot,True
166,__label__kem,es,__label__trung_binh,False
167,__label__tot,en,__label__tot,True
168,__label__tot,vi,__label__tot,True
169,__label__tot,nl,__label__xuat_sac,False
170,__label__xuat_sac,ro,__label__xuat_sac,True
171,__label__trung_binh,vi,__label__trung_binh,True
172,__label__xuat_sac,vi,__label__xuat_sac,True
173,__label__xuat_sac,en,__label__xuat_sac,True
174,__label__xuat_sac,de,__label__xuat_sac,True
175,__label__tot,de,__label__tot,True
176,__label__xuat_sac,en,__label__xuat_sac,True
177,__label__xuat_sac,pl,__label__xuat_sac,True
178,__label__xuat_sac,en,__label__xuat_sac,True
179,__label__trung_binh,en,__label__trung_binh,True
180,__label__xuat_sac,de,__label__xuat_sac,True
181,__label__tot,vi,__label__tot,True
182,__label__trung_binh,vi,__label__trung_binh,True
183,__label__tot,vi,__label__tot,True
184,__label__tot,en,__label__tot,True
185,__label__xuat_sac,en,__label__xuat_sac,True
186,__label__xuat_sac,en,__label__xuat_sac,True
187,__label__tot,vi,__label__tot,True
188,__label__tot,en,__label__tot,True
189,__label__xuat_sac,en,__label__xuat_sac,True
190,__label__trung_binh,vi,__label__trung_binh,True
191,__label__tot,en,__label__tot,True
192,__label__xuat_sac,ru,__label__xuat_sac,True
193,__label__xuat_sac,vi,__label__xuat_sac,True
194,__label__xuat_sac,ru,__label__xuat_sac,True
195,__label__tot,vi,__label__tot,True
196,__label__kem,vi,__label__trung_binh,False
197,__label__tot,zh-cn,__label__tot,True
198,__label__xuat_sac,ru,__label__xuat_sac,True
199,__label__trung_binh,zh-cn,__label__trung_binh,True
200,__label__tot,nl,__label__tot,True
201,__label__xuat_sac,ru,__label__xuat_sac,True
202,__label__tot,fr,__label__tot,True
203,__label__xuat_sac,zh-cn,__label__xuat_sac,True
204,__label__xuat_sac,nl,__label__xuat_sac,True
205,__label__xuat_sac,zh-cn,__label__xuat_sac,True
206,__label__tot,ru,__label__tot,True
207,__label__rat_kem,zh-cn,__label__rat_kem,True
208,__label__xuat_sac,ru,__label__xuat_sac,True
209,__label__tot,en,__label__tot,True
210,__label__xuat_sac,en,__label__xuat_sac,True
211,__label__tot,de,__label__tot,True
212,__label__xuat_sac,fr,__label__xuat_sac,True
213,__label__xuat_sac,fr,__label__xuat_sac,True
214,__label__xuat_sac,vi,__label__xuat_sac,True
215,__label__trung_binh,ko,__label__trung_binh,True
216,__label__tot,ru,__label__tot,True
217,__label__tot,ru,__label__tot,True
218,__label__xuat_sac,zh-cn,__label__xuat_sac,True
219,__label__xuat_sac,zh-cn,__label__xuat_sac,True
220,__label__xuat_sac,ko,__label__xuat_sac,True
221,__label__xuat_sac,fr,__label__tot,False
222,__label__tot,vi,__label__tot,True
223,__label__xuat_sac,zh-cn,__label__tot,False
224,__label__xuat_sac,zh-cn,__label__xuat_sac,True
225,__label__tot,zh-cn,__label__tot,True
226,__label__xuat_sac,ru,__label__xuat_sac,True
227,__label__xuat_sac,cs,__label__xuat_sac,True
228,__label__xuat_sac,es,__label__xuat_sac,True
229,__label__xuat_sac,en,__label__xuat_sac,True
230,__label__tot,en,__label__tot,True
231,__label__trung_binh,en,__label__trung_binh,True
232,__label__tot,nl,__label__tot,True
233,__label__xuat_sac,zh-cn,__label__xuat_sac,True
234,__label__tot,zh-cn,__label__tot,True
235,__label__trung_binh,es,__label__trung_binh,True
236,__label__xuat_sac,ru,__label__xuat_sac,True
237,__label__xuat_sac,zh-cn,__label__xuat_sac,True
238,__label__tot,zh-cn,__label__tot,True
239,__label__tot,zh-cn,__label__tot,True
240,__label__tot,zh-cn,__label__xuat_sac,False
241,__label__tot,de,__label__tot,True
242,__label__xuat_sac,de,__label__tot,False
243,__label__tot,zh-cn,__label__tot,True
244,__label__xuat_sac,ru,__label__xuat_sac,True
245,__label__xuat_sac,zh-cn,__label__xuat_sac,True
246,__label__tot,zh-cn,__label__tot,True
247,__label__xuat_sac,ru,__label__xuat_sac,True
248,__label__xuat_sac,zh-cn,__label__xuat_sac,True
249,__label__xuat_sac,ru,__label__xuat_sac,True
250,__label__xuat_sac,fr,__label__xuat_sac,True
251,__label__xuat_sac,de,__label__xuat_sac,True
252,__label__rat_kem,zh-cn,__label__rat_kem,True
253,__label__xuat_sac,zh-cn,__label__xuat_sac,True
254,__label__tot,ru,__label__tot,True
255,__label__kem,no,__label__kem,True
256,__label__xuat_sac,ru,__label__xuat_sac,True
257,__label__tot,de,__label__tot,True
258,__label__tot,ru,__label__tot,True
259,__label__tot,ru,__label__tot,True
260,__label__xuat_sac,ru,__label__xuat_sac,True
261,__label__xuat_sac,zh-cn,__label__tot,False
262,__label__tot,ru,__label__tot,True
263,__label__tot,de,__label__tot,True
264,__label__xuat_sac,zh-cn,__label__xuat_sac,True
265,__label__tot,vi,__label__tot,True
266,__label__tot,fr,__label__tot,True
267,__label__xuat_sac,fr,__label__xuat_sac,True
268,__label__xuat_sac,ru,__label__xuat_sac,True
269,__label__tot,ru,__label__tot,True
270,__label__tot,vi,__label__tot,True
271,__label__trung_binh,vi,__label__trung_binh,True
272,__label__kem,vi,__label__kem,True
273,__label__kem,vi,__label__kem,True
274,__label__rat_kem,ru,__label__rat_kem,True
275,__label__tot,vi,__label__tot,True
276,__label__trung_binh,vi,__label__trung_binh,True
277,__label__tot,vi,__label__tot,True
278,__label__xuat_sac,vi,__label__tot,False
279,__label__xuat_sac,zh-cn,__label__xuat_sac,True
280,__label__xuat_sac,ru,__label__xuat_sac,True
281,__label__tot,zh-cn,__label__tot,True
282,__label__kem,en,__label__kem,True
283,__label__tot,ja,__label__tot,True
284,__label__xuat_sac,tl,__label__xuat_sac,True
285,__label__kem,en,__label__kem,True
286,__label__trung_binh,en,__label__trung_binh,True
287,__label__kem,fr,__label__kem,True
288,__label__tot,fr,__label__tot,True
289,__label__trung_binh,fr,__label__trung_binh,True
290,__label__xuat_sac,en,__label__xuat_sac,True
291,__label__tot,fr,__label__tot,True
292,__label__tot,it,__label__tot,True
293,__label__tot,en,__label__tot,True
294,__label__xuat_sac,vi,__label__xuat_sac,True
295,__label__trung_binh,vi,__label__trung_binh,True
296,__label__xuat_sac,vi,__label__xuat_sac,True
297,__label__trung_binh,ru,__label__trung_binh,True
298,__label__trung_binh,en,__label__trung_binh,True
299,__label__tot,vi,__label__tot,True
300,__label__trung_binh,vi,__label__trung_binh,True
301,__label__trung_binh,vi,__label__trung_binh,True
302,__label__tot,vi,__label__tot,True
303,__label__xuat_sac,vi,__label__xuat_sac,True
304,__label__trung_binh,vi,__label__trung_binh,True
305,__label__tot,en,__label__tot,True
306,__label__tot,en,__label__tot,True
307,__label__tot,vi,__label__tot,True
308,__label__tot,vi,__label__tot,True
309,__label__trung_binh,vi,__label__trung_binh,True
310,__label__kem,en,__label__tot,False
311,__label__xuat_sac,en,__label__xuat_sac,True
312,__label__tot,en,__label__tot,True
313,__label__xuat_sac,en,__label__xuat_sac,True
314,__label__xuat_sac,en,__label__xuat_sac,True
315,__label__kem,vi,__label__kem,True
316,__label__tot,vi,__label__tot,True
317,__label__xuat_sac,vi,__label__xuat_sac,True
318,__label__tot,vi,__label__tot,True
319,__label__tot,vi,__label__tot,True
320,__label__tot,vi,__label__tot,True
321,__label__xuat_sac,zh-cn,__label__xuat_sac,True
322,__label__tot,vi,__label__tot,True
323,__label__trung_binh,zh-cn,__label__trung_binh,True
324,__label__xuat_sac,en,__label__xuat_sac,True
325,__label__trung_binh,vi,__label__trung_binh,True
326,__label__tot,de,__label__tot,True
327,__label__trung_binh,vi,__label__trung_binh,True
328,__label__tot,zh-cn,__label__tot,True
329,__label__xuat_sac,ru,__label__tot,False
330,__label__xuat_sac,zh-cn,__label__xuat_sac,True
331,__label__tot,vi,__label__tot,True
332,__label__tot,vi,__label__tot,True
333,__label__tot,vi,__label__tot,True
334,__label__trung_binh,vi,__label__trung_binh,True
335,__label__xuat_sac,en,__label__xuat_sac,True
336,__label__trung_binh,en,__label__trung_binh,True
337,__label__tot,zh-cn,__label__tot,True
338,__label__xuat_sac,zh-cn,__label__xuat_sac,True
339,__label__tot,ru,__label__tot,True
340,__label__tot,zh-cn,__label__tot,True
341,__label__tot,ru,__label__tot,True
342,__label__tot,zh-cn,__label__xuat_sac,False
343,__label__xuat_sac,zh-cn,__label__xuat_sac,True
344,__label__trung_binh,de,__label__trung_binh,True
345,__label__xuat_sac,fr,__label__xuat_sac,True
346,__label__tot,vi,__label__tot,True
347,__label__tot,vi,__label__tot,True
348,__label__kem,vi,__label__kem,True
349,__label__tot,sv,__label__tot,True
350,__label__xuat_sac,it,__label__xuat_sac,True
351,__label__rat_kem,en,__label__rat_kem,True
352,__label__xuat_sac,en,__label__xuat_sac,True
353,__label__xuat_sac,en,__label__xuat_sac,True
354,__label__tot,de,__label__tot,True
355,__label__trung_binh,vi,__label__trung_binh,True
356,__label__xuat_sac,zh-cn,__label__xuat_sac,True
357,__label__xuat_sac,zh-cn,__label__xuat_sac,True
358,__label__xuat_sac,zh-cn,__label__xuat_sac,True
359,__label__xuat_sac,vi,__label__xuat_sac,True
360,__label__xuat_sac,vi,__label__xuat_sac,True
361,__label__xuat_sac,vi,__label__xuat_sac,True
362,__label__xuat_sac,zh-cn,__label__xuat_sac,True
363,__label__xuat_sac,zh-cn,__label__xuat_sac,True
364,__label__xuat_sac,ru,__label__xuat_sac,True
365,__label__xuat_sac,vi,__label__xuat_sac,True
366,__label__tot,zh-cn,__label__tot,True
367,__label__trung_binh,vi,__label__trung_binh,True
368,__label__trung_binh,fr,__label__trung_binh,True
369,__label__trung_binh,de,__label__trung_binh,True
370,__label__trung_binh,no,__label__trung_binh,True
371,__label__tot,zh-cn,__label__xuat_sac,False
372,__label__trung_binh,vi,__label__trung_binh,True
373,__label__xuat_sac,zh-cn,__label__xuat_sac,True
374,__label__rat_kem,vi,__label__rat_kem,True
375,__label__trung_binh,vi,__label__trung_binh,True
376,__label__xuat_sac,en,__label__xuat_sac,True
377,__label__xuat_sac,vi,__label__xuat_sac,True
378,__label__tot,vi,__label__tot,True
379,__label__tot,ko,__label__tot,True
380,__label__xuat_sac,vi,__label__xuat_sac,True
381,__label__xuat_sac,en,__label__xuat_sac,True
382,__label__kem,fr,__label__kem,True
383,__label__tot,zh-cn,__label__tot,True
384,__label__tot,vi,__label__tot,True
385,__label__tot,en,__label__tot,True
386,__label__rat_kem,en,__label__rat_kem,True
387,__label__xuat_sac,en,__label__xuat_sac,True
388,__label__tot,zh-cn,__label__tot,True
389,__label__xuat_sac,zh-cn,__label__xuat_sac,True
390,__label__xuat_sac,zh-cn,__label__xuat_sac,True
391,__label__tot,zh-cn,__label__tot,True
392,__label__xuat_sac,vi,__label__xuat_sac,True
393,__label__xuat_sac,zh-cn,__label__xuat_sac,True
394,__label__xuat_sac,en,__label__xuat_sac,True
395,__label__tot,zh-cn,__label__tot,True
396,__label__tot,zh-cn,__label__tot,True
397,__label__tot,zh-cn,__label__tot,True
398,__label__tot,zh-cn,__label__tot,True
399,__label__tot,zh-cn,__label__tot,True
400,__label__tot,zh-cn,__label__tot,True
401,__label__tot,zh-cn,__label__tot,True
402,__label__xuat_sac,zh-cn,__label__xuat_sac,True
403,__label__xuat_sac,zh-cn,__label__xuat_sac,True
404,__label__xuat_sac,zh-cn,__label__xuat_sac,True
405,__label__trung_binh,zh-cn,__label__trung_binh,True
406,__label__xuat_sac,zh-cn,__label__xuat_sac,True
407,__label__xuat_sac,zh-cn,__label__xuat_sac,True
408,__label__xuat_sac,vi,__label__xuat_sac,True
409,__label__xuat_sac,ru,__label__xuat_sac,True
410,__label__tot,ko,__label__tot,True
411,__label__tot,pl,__label__tot,True
412,__label__tot,vi,__label__tot,True
413,__label__xuat_sac,zh-cn,__label__xuat_sac,True
414,__label__tot,sv,__label__tot,True
415,__label__xuat_sac,de,__label__tot,False
416,__label__tot,zh-cn,__label__xuat_sac,False
417,__label__xuat_sac,ru,__label__xuat_sac,True
418,__label__trung_binh,zh-cn,__label__trung_binh,True
419,__label__tot,zh-cn,__label__tot,True
420,__label__tot,ru,__label__tot,True
421,__label__kem,vi,__label__kem,True
422,__label__tot,vi,__label__tot,True
423,__label__xuat_sac,zh-cn,__label__xuat_sac,True
424,__label__xuat_sac,zh-cn,__label__xuat_sac,True
425,__label__xuat_sac,zh-cn,__label__xuat_sac,True
426,__label__tot,zh-cn,__label__tot,True
427,__label__tot,vi,__label__tot,True
428,__label__tot,zh-cn,__label__tot,True
429,__label__xuat_sac,zh-cn,__label__xuat_sac,True
430,__label__xuat_sac,zh-cn,__label__xuat_sac,True
431,__label__xuat_sac,zh-cn,__label__tot,False
432,__label__tot,en,__label__tot,True
433,__label__xuat_sac,de,__label__xuat_sac,True
434,__label__tot,zh-cn,__label__tot,True
435,__label__tot,bg,__label__tot,True
436,__label__xuat_sac,zh-cn,__label__xuat_sac,True
437,__label__xuat_sac,zh-cn,__label__xuat_sac,True
438,__label__xuat_sac,zh-cn,__label__xuat_sac,True
439,__label__xuat_sac,en,__label__xuat_sac,True
440,__label__xuat_sac,en,__label__xuat_sac,True
441,__label__xuat_sac,zh-cn,__label__xuat_sac,True
442,__label__tot,en,__label__tot,True
443,__label__xuat_sac,vi,__label__xuat_sac,True
444,__label__xuat_sac,zh-cn,__label__xuat_sac,True
445,__label__xuat_sac,zh-cn,__label__xuat_sac,True
446,__label__tot,ko,__label__tot,True
447,__label__tot,vi,__label__tot,True
448,__label__trung_binh,ru,__label__xuat_sac,False
449,__label__xuat_sac,zh-cn,__label__xuat_sac,True
450,__label__trung_binh,en,__label__trung_binh,True
451,__label__xuat_sac,zh-cn,__label__xuat_sac,True
452,__label__trung_binh,en,__label__trung_binh,True
453,__label__xuat_sac,ru,__label__xuat_sac,True
454,__label__tot,en,__label__tot,True
455,__label__trung_binh,ja,__label__trung_binh,True
456,__label__xuat_sac,ru,__label__xuat_sac,True
457,__label__xuat_sac,vi,__label__xuat_sac,True
458,__label__tot,en,__label__tot,True
459,__label__tot,vi,__label__tot,True
460,__label__tot,en,__label__tot,True
461,__label__xuat_sac,en,__label__xuat_sac,True
462,__label__trung_binh,zh-cn,__label__trung_binh,True
463,__label__xuat_sac,de,__label__xuat_sac,True
464,__label__tot,it,__label__tot,True
465,__label__xuat_sac,zh-cn,__label__xuat_sac,True
466,__label__xuat_sac,ru,__label__xuat_sac,True
467,__label__tot,zh-cn,__label__tot,True
468,__label__tot,en,__label__tot,True
469,__label__xuat_sac,en,__label__xuat_sac,True
470,__label__tot,vi,__label__tot,True
471,__label__xuat_sac,zh-cn,__label__xuat_sac,True
472,__label__tot,vi,__label__tot,True
473,__label__tot,zh-cn,__label__tot,True
474,__label__kem,vi,__label__kem,True
475,__label__xuat_sac,zh-cn,__label__xuat_sac,True
476,__label__trung_binh,vi,__label__trung_binh,True
477,__label__tot,zh-cn,__label__tot,True
478,__label__xuat_sac,en,__label__xuat_sac,True
479,__label__tot,ko,__label__tot,True
480,__label__trung_binh,zh-cn,__label__trung_binh,True
481,__label__xuat_sac,vi,__label__xuat_sac,True
482,__label__xuat_sac,th,__label__xuat_sac,True
483,__label__tot,zh-cn,__label__tot,True
484,__label__xuat_sac,en,__label__xuat_sac,True
485,__label__tot,zh-cn,__label__tot,True
486,__label__tot,en,__label__tot,True
487,__label__tot,zh-cn,__label__tot,True
488,__label__xuat_sac,zh-cn,__label__xuat_sac,True
489,__label__tot,nl,__label__tot,True
490,__label__xuat_sac,de,__label__xuat_sac,True
491,__label__xuat_sac,zh-cn,__label__xuat_sac,True
492,__label__tot,nl,__label__tot,True
493,__label__tot,vi,__label__tot,True
494,__label__rat_kem,vi,__label__rat_kem,True
495,__label__tot,ru,__label__tot,True
496,__label__trung_binh,en,__label__trung_binh,True
497,__label__xuat_sac,zh-cn,__label__xuat_sac,True
498,__label__tot,en,__label__tot,True
499,__label__xuat_sac,de,__label__xuat_sac,True
500,__label__tot,vi,__label__tot,True
501,__label__trung_binh,vi,__label__trung_binh,True
502,__label__xuat_sac,vi,__label__xuat_sac,True
503,__label__xuat_sac,no,__label__tot,False
504,__label__trung_binh,en,__label__trung_binh,True
505,__label__tot,zh-cn,__label__trung_binh,False
506,__label__tot,fr,__label__tot,True
507,__label__tot,sv,__label__xuat_sac,False
508,__label__tot,zh-cn,__label__tot,True
509,__label__tot,zh-cn,__label__tot,True
510,__label__xuat_sac,zh-cn,__label__xuat_sac,True
511,__label__xuat_sac,de,__label__xuat_sac,True
512,__label__tot,en,__label__tot,True
513,__label__tot,zh-cn,__label__tot,True
514,__label__trung_binh,fr,__label__trung_binh,True
515,__label__trung_binh,zh-cn,__label__trung_binh,True
516,__label__tot,zh-cn,__label__tot,True
517,__label__xuat_sac,en,__label__xuat_sac,True
518,__label__xuat_sac,zh-cn,__label__xuat_sac,True
519,__label__trung_binh,en,__label__trung_binh,True
520,__label__xuat_sac,de,__label__xuat_sac,True
521,__label__tot,fr,__label__tot,True
522,__label__trung_binh,ko,__label__trung_binh,True
523,__label__tot,en,__label__tot,True
524,__label__trung_binh,vi,__label__trung_binh,True
525,__label__tot,zh-cn,__label__tot,True
526,__label__tot,ko,__label__tot,True
527,__label__trung_binh,zh-cn,__label__trung_binh,True
528,__label__tot,zh-cn,__label__tot,True
529,__label__tot,zh-cn,__label__tot,True
530,__label__xuat_sac,en,__label__xuat_sac,True
531,__label__trung_binh,zh-cn,__label__trung_binh,True
532,__label__xuat_sac,zh-cn,__label__xuat_sac,True
533,__label__trung_binh,nl,__label__trung_binh,True
534,__label__tot,vi,__label__tot,True
535,__label__xuat_sac,fr,__label__xuat_sac,True
536,__label__trung_binh,zh-cn,__label__xuat_sac,False
537,__label__xuat_sac,zh-cn,__label__xuat_sac,True
538,__label__tot,zh-cn,__label__tot,True
539,__label__trung_binh,zh-cn,__label__trung_binh,True
540,__label__xuat_sac,zh-cn,__label__xuat_sac,True
541,__label__tot,zh-cn,__label__xuat_sac,False
542,__label__tot,fr,__label__tot,True
543,__label__tot,ru,__label__tot,True
544,__label__kem,vi,__label__kem,True
545,__label__tot,ko,__label__tot,True
546,__label__trung_binh,zh-cn,__label__trung_binh,True
547,__label__tot,en,__label__xuat_sac,False
548,__label__tot,nl,__label__tot,True
549,__label__xuat_sac,en,__label__xuat_sac,True
550,__label__xuat_sac,en,__label__xuat_sac,True
551,__label__xuat_sac,vi,__label__xuat_sac,True
552,__label__tot,vi,__label__tot,True
553,__label__trung_binh,vi,__label__trung_binh,True
554,__label__trung_binh,vi,__label__tot,False
555,__label__xuat_sac,fr,__label__xuat_sac,True
556,__label__tot,en,__label__xuat_sac,False
557,__label__tot,en,__label__tot,True
558,__label__kem,zh-cn,__label__kem,True
559,__label__trung_binh,de,__label__trung_binh,True
560,__label__xuat_sac,en,__label__xuat_sac,True
561,__label__xuat_sac,zh-cn,__label__xuat_sac,True
562,__label__xuat_sac,zh-cn,__label__xuat_sac,True
563,__label__xuat_sac,zh-cn,__label__xuat_sac,True
564,__label__tot,zh-cn,__label__tot,True
565,__label__tot,sv,__label__tot,True
566,__label__tot,en,__label__tot,True
567,__label__xuat_sac,fr,__label__xuat_sac,True
568,__label__xuat_sac,zh-cn,__label__xuat_sac,True
569,__label__kem,vi,__label__kem,True
570,__label__tot,zh-cn,__label__xuat_sac,False
571,__label__kem,en,__label__kem,True
572,__label__trung_binh,ru,__label__trung_binh,True
573,__label__kem,vi,__label__kem,True
574,__label__trung_binh,vi,__label__trung_binh,True
575,__label__trung_binh,vi,__label__tot,False
576,__label__tot,zh-cn,__label__tot,True
577,__label__trung_binh,zh-cn,__label__trung_binh,True
578,__label__trung_binh,vi,__label__trung_binh,True
579,__label__tot,vi,__label__tot,True
580,__label__trung_binh,vi,__label__trung_binh,True
581,__label__tot,en,__label__tot,True
582,__label__xuat_sac,ru,__label__xuat_sac,True
583,__label__xuat_sac,en,__label__xuat_sac,True
584,__label__tot,en,__label__tot,True
585,__label__xuat_sac,zh-cn,__label__xuat_sac,True
586,__label__xuat_sac,zh-cn,__label__xuat_sac,True
587,__label__xuat_sac,en,__label__xuat_sac,True
588,__label__trung_binh,vi,__label__trung_binh,True
589,__label__tot,vi,__label__tot,True
590,__label__kem,nl,__label__kem,True
591,__label__tot,vi,__label__tot,True
592,__label__trung_binh,vi,__label__trung_binh,True
593,__label__trung_binh,vi,__label__trung_binh,True
594,__label__trung_binh,en,__label__trung_binh,True
595,__label__tot,vi,__label__tot,True
596,__label__tot,en,__label__tot,True
